"video_id","title","channel","published_at","views","likes","comments","tags","duration_iso"
"eWZ_8iQi59c","Mental Health Awareness Month | Fighting the stigma surrounding getting help","11Alive",2023-05-02,56240,511,119,"11alive-exclusives ], [ health, community, news, people","PT14M8S"
"GIvDopF5xyM","You Are Not Alone | Mental Health Awareness Month","Blue Cross Blue Shield of Michigan",2024-05-03,6535,163,3,"Blue Cross Blue Shield of Michigan, BCBSM, mental health awareness","PT5S"
"G0zJGDokyWQ","What is Mental Health?","Mental Health at Work",2016-07-01,998820,7260,507,"Mental Health, Workplace Mental Health, Mental Wellbeing, Positive Mental Health, Stigma, mental health at work, endthe stigma","PT3M40S"
"rkZl2gsLUp4","How to manage your mental health | Leon Taylor | TEDxClapham","TEDx Talks",2018-07-19,2998835,59290,1150,"TEDxTalks, English, Health, Mental health, Movement","PT17M33S"
"cfohqU6JqWA","Mental Health Awareness Month | HBO","HBO",2020-05-18,27162,446,68,"hbo, home box officehbo, home box office, mental health awareness, mental health awareness month, mental health awareness month videos 2020, i know this much is true, mental health awareness video, succession scene, the shop uninterrupted, mental health, mental illness, mental illness in movies, mental health month 2020, hbo mental health, depression, mental health 2020, Stress, anxiety, National Alliance on Mental Illness, the sopranos, euphoria, sharp objects, six feet under","PT1M11S"
"FoZ-3l6hMGQ","Mental Health Awareness and DeEscalation: PACER Integrative Behavioral Health","Doc Snipes",2020-12-05,47916,NA,51,"ADACB, cadc, ccapp, ccdc, ladc, naadac, nbcc, Dawn Elise Snipes, NCMHCE, allceus, unlimited ceus, hpcsa, crcc, ce broker, addiction ceus, rsw cpd, ccm ceus, counselling ceus, mental health, therapy notes, addiction recovery, cebroker, anxiety relief, mental health awareness, counseling techniques, counseling skills, counseling skills training videos, mental health matters, de-escalation, crisis","PT39M32S"
"dh-OPuaLTMY","Mental Health Awareness | Annie Ljungqvist | TEDxYouth@Upanga","TEDx Talks",2022-06-01,11604,155,72,"Africa, Behavior, Cognitive science, English, Health, Mental health, Self-help, TEDxTalks, [TEDxEID:48756]","PT7M54S"
"47DU-b6L6as","What is Mental Health? | Mental Health Awareness Month 2022","Doc Snipes",2022-05-02,25289,488,182,"ADACB, cadc, ccapp, naadac, nbcc, Dawn Elise Snipes, Cheap CEUs, NCMHCE, unlimited ceus, hpcsa, crcc, lcsw ceus, lcdc ceus, lmft ceus, lmhc ceus, ce broker, addiction ceus, LADC CEU, MAC CEU, mental health, online counseling, yt:cc=on, donnelly snipes, doc snipes, counselor education, mental illness, allceus, all ceus, cognitive behavioral, mental health month, mental health awareness month, what is mental health, MHAM, lets talk mental health","PT13M11S"
"XS9QJPtMbFE","May is Mental Health Awareness Month🙏🏾♥️ #mentalhealthawareness #manhood #masculinity","Dax",2025-05-01,123992,4278,108,NA,"PT43S"
"tLRCS48Ens4","Dr. Paul Conti: How to Understand & Assess Your Mental Health | Huberman Lab Guest Series","Andrew Huberman",2023-09-06,14705821,84401,4148,"andrew huberman, huberman lab podcast, huberman podcast, dr. andrew huberman, neuroscience, huberman lab, andrew huberman podcast, the huberman lab podcast, science podcast, mental health, dr. paul conti, stanford school of medicine, harvard medical school, pacific premiere group, sense of self, self-concept, cognitive behaviors, happiness, fulfilling life, anxiety, self-confidence, internal narratives, over-thinking, defense mechanisms, emotional wellbeing, self-exploration","PT3H42M50S"
"xZjgsPw5SvY","Mental Health Awareness Month: Therapist on importance of talking about struggles","CBS News",2022-05-02,10188,145,27,"mental health, Mental Health Awareness, lori gottlieb","PT5M2S"
"gy1iH_Gxn0Q","Stop the Stigma: Why it's important to talk about Mental Health | Heather Sarkis | TEDxGainesville","TEDx Talks",2019-06-24,288520,4695,237,"TEDxTalks, English, Health, Cause, Life, Mental health, Mindfulness, Passion, Struggle","PT9M20S"
"aeTTrD_EQSQ","Mental health awareness: Identifying issues and finding help","KHOU 11",2025-05-08,1474,17,25,"[ health-matters, health ], news","PT2M3S"
"b_ZFjw-eEGo","Mental Health Awareness: How to practice self-care","Stamford Health",2023-05-03,7002,70,90,NA,"PT1M55S"
"OGZjYnZg4Cs","Mental Health Awareness - Why Is Mental Health Important?","Tallahassee Memorial HealthCare (TMH)",2019-05-06,86831,1157,113,"mental health, conversations with nicole, Tallahassee Memorial HealthCare","PT4M43S"
"AfLZwyCykSQ","HealthCast: May is mental health awareness month","WPLG Local 10",2025-05-01,888,27,46,"local news","PT1M50S"
"J5zIXAspuYI","‘Ice Bucket Challenge’ is back to raise awareness of mental health #Shorts","USA TODAY",2025-04-25,25243,380,6,"usa today, usa today news, social media, trend, trends, social media trend, social media trends, viral, viral trend, viral trends, viral social media trend, viral social media trends, ice bucket challenge, mental health, mental health awareness, ALS, amyotrophic lateral sclerosis, Lou Gehrig's disease, fundraise, fund, funds, fundraiser, fundraisers, nonprofit, Active Minds","PT47S"
"ExEXOfe81Nc","Mental Health Awareness","Department of Health (Philippines)",2023-10-12,62724,640,9,NA,"PT1M7S"
"DxIDKZHW3-E","We All Have Mental Health","Anna Freud",2018-10-01,2732343,23544,0,"mentalhealth, secondaryschool, secondaryschoolresources, annafreudcentre, schoolsinmind, mentalhealthawareness, teachers","PT5M40S"
"YdMCL9_UTE4","Mental health and resilience - the secrets of inner strength | DW Documentary","DW Documentary",2024-01-20,2870001,43268,2183,"Documentary, DW documentary, full documentary, DW, documentary 2023, dw documentary, documentaries, Documentaries, documentary, psychology, resilience, stress, happiness","PT51M56S"
"L8SOfJZ6tjY","Crucial Conversations: Mental Health Awareness","University of Michigan",2021-05-24,1672,34,40,NA,"PT58M4S"
"zr50zUpu55Q","Helping others during Mental Health Awareness Month","WFAA",2025-05-03,1099,36,60,"[ health, news ]","PT3M3S"
"4nWcEtUV4do","The Silent Crisis of Men's Mental Health | Dustin Hogan | TEDxGrandviewHeights","TEDx Talks",2025-02-26,327894,22707,392,"English, Humanities, Men, Mental health, Struggle, TEDxTalks, [TEDxEID:60210]","PT14M59S"
"G0XUimJbz44","Workplace Mental Health - all you need to know (for now) | Tom Oxley | TEDxNorwichED","TEDx Talks",2018-07-16,986782,13060,888,"TEDxTalks, English, Health, Education, Mental health, Work","PT12M17S"
"TGEzhULd5Yw","IMPORTANCE OF MENTAL HEALTH | SHIBILI SUHANAH | TEDxFarookCollege","TEDx Talks",2023-07-10,19717,327,42,"English, Health, Mental health, Psychology, TEDxTalks, Therapy, [TEDxEID:52624]","PT19M2S"
"saETdH-ffuE","DOCTOR EXPLAINS WHAT IS MENTAL HEALTH vs mental illness | Mental Health Awareness","Dr. Karthik Ramanan - Emotional Health Mentor",2020-02-12,21768,555,49,"doctor explains what is mental health vs mental illness, what is mental health, mental health awareness, mental health awareness 2020, mental wellbeing, mental health, mental health 2020, mental health vs mental illness, mental illness, mental health stigma, depression, health, anxiety, attention deficit hyperactivity disorder, wellbeing, health literacy, generalized anxiety disorder, major depressive disorder, doctor, psychology, relationships, nutrition, sleep, exercise, dr k show","PT5M36S"
"V9oUhizYedM","Mental Health | Mental Health Awareness On World Mental Health Day: Conversation With Neerja Birla","NDTV",2025-10-10,22206,71,11,"NDTV 24x7, breaking news, current affairs, latest news, live news, ndtv, ndtv live 24x7 english news, ndtv_news, top news, category= news, Show= Daily News Videos, TV Clip, Anchor= Ambika Singh, Mental Health Awareness, World Mental Health Day, Neerja Birla, Mental Health","PT13M12S"
"L1MuqRmAbto","Mental health awareness with Active Minds","Union College",2023-03-13,1989,50,1,NA,"PT31S"
"TLAeT8BXG1w","Mental Health Awareness 2018 - Depression Isn't Obvious","Reading Students' Union",2018-01-29,256092,3627,171,"university of reading, RUSU","PT2M13S"
"D3tTSGRyBuw","May is Mental Health Awareness Month! I have three rules for y’all!","Kojo Sarfo, DNP",2022-05-03,22842,805,28,NA,"PT13S"
"0PTkG0osS1g","""I THOUGHT DEPRESSION WAS FAKE..."" #mentalhealth #imanamongstmen #iman #shorts","UNINTERRUPTED",2023-10-24,3506629,187594,3378,NA,"PT59S"
"mardYu6GZO8","July Is National Minority Mental Health Awareness Month, Pour Into Yourself This Month!","BETNetworks",2023-07-01,5322,177,20,"BET, BET Networks, BET Music, Black Entertainment Television, Mental Health, Mental Health Matters, Mental Health Awareness, National Minority Mental Health Awareness Month","PT3M1S"
"v38k0y_k77g","Med Talk Health Talk: Mental Health Awareness","NewsWatch Plus PH",2023-10-10,2465,40,40,NA,"PT20M36S"
"gi9khKsG2nI","8 Things Not To Say To Someone With Suicidal Thoughts #mentalhealth  #mentalhealthawareness","Psych2Go",2025-09-27,67827,8292,397,"8 things not to say, to someone, with suicidal, thought","PT1M37S"
"tX8TgVR33KM","Check in on those around you | #WorldMentalHealthDay 💛💚 #youarenotalone","Norwich City Football Club",2023-10-10,2534815,93591,2201,"Football, Soccer, Norwich, Norwich City FC, Premier League, Teemu Pukki, UK, EFL","PT2M27S"
"h_Hz74BLSnM","How to improve your mental health 📚 ✨ ✍️","Motivation2Study",2023-07-29,815166,20968,287,"motivation, study motivation, motivational, motivational speech, best motivational speech, new year motivational speech, best motivational video, motivational video, best study motivation, study, success, student motivation, speech, do something today your future self will thank you for, your future self will thank you, your future self motivation, 2023 motivation, 2023 motivational speech, work for your dreams, work for your dreams motivation, m2s, GO BEYOND, WHERE DO YOU WANT TO BE","PT16S"
"FN0_ow76hU8","The Mental Health Doctor: Your Phone Screen & Sitting Is Destroying Your Brain!","The Diary Of A CEO",2024-01-15,3662835,82308,2867,"The Diary Of A CEO, steven bartlett steve bartlett, podcast, the diary of a CEO podcast, life lessons, CEO","PT1H57M57S"
"WGDJRzyJ6iY","June is Men’s Mental Health Awareness Month🙏🏾♥️ #mentalhealthawareness #manhood #masculinity","Dax",2025-06-05,71596,2905,106,NA,"PT45S"
"2XZNNZnGhGY","Unspoken (2025) - Mental Health Awareness Short Film","Maudsley Learning",2023-12-22,116961,1169,62,"psychiatry, mental health, maudsley learning, training, cpd, simulation, nhs, national health service, london, ortus, denmark hill, zoom, remote training, explained, awareness, south london and maudsley nhs trust, students, facilitators, sim training, remote, online, doctors, clinicians, wellbeing, consultancy, organisation, courses, masterclass, short course, effective training, simulation training, sim tech, immersive, maudsley hospital, unspoken, short film","PT6M6S"
"wOGqlVqyvCM","5 Tips to Improve your Mental Health | Sadhguru","Sadhguru",2020-10-10,2480205,69470,1090,"Sadhguru 2019, sad guru, Sadguru, satguru, sathguru, jaggi, vasudev, jakki, isha, yoga, spirituality, wisdom, mysticism, seeking, Isha Kriya, sadhguru speeches, sadguru speeches, sadguru speeches in english, sadhguru latest, sadhguru medittion, sadhguru live, sadhguru english, 5 Tips to Improve your Mental Health, mental health, mental health pandemic, mental health awareness, covid pandemic, sadhguru on mental health","PT8M"
"WnxKSD6F4Sw","Mental health: What it is and why it matters | CBC Kids News","CBC Kids News",2022-05-03,153644,773,NA,"Mental health, anxiety, depression, mental illness, youth mental health, mental wellness, tiktok, stigma, accessibility, cognitive corner, Simone Saunders, Jennifer khoury, psychology, Jeremy Parkin, Yukon, CBC Kids News, CBC, Kids, News, News for kids, mental health month, mental health week, mental health for kids, mental health awareness, for kids","PT8M40S"
"wo4M7HORYEo","Raising mental health awareness together","Aga Khan University",2019-10-10,77974,1489,34,"mental health awareness, world mental health day, suicide prevention, mental health illness, mental health support, depression support, clinical depression, generalised anxiety disorder, OCD, ADHD, suicide awareness, teenage suicide, stop the stigma, mental health stigma, mental health advocacy","PT2M20S"
"x6qk5d5kW_s","MENTAL HEALTH AWARENESS | Morning Blend","Tampa Bay 28",2022-05-13,795,4,1,"awareness month, humana, mental health, morning blend","PT4M2S"
"W4cLDgjGRJA","Signs To Seek Help With Your Mental Health - Dr Julie #shorts","Dr Julie",2022-04-07,1411537,68462,1073,"mental health, anxiety, depression, shorts, therapy, psychologist, panic attacks, self help, motivation, self love, mental health awareness","PT23S"
"z-IR48Mb3W0","What is depression? - Helen M. Farrell","TED-Ed",2015-12-15,25868137,587443,28177,"Helen Farrell, Artrake Studio, depression, clinical depression, mental illness, depression treatment, what is depression, difference between depression and sadness, what do if you are depressed, TED, TED-Ed, TED Ed, TEDEducation","PT4M29S"
